SEQ,DATE,TIME,FLOCKNAME,FLOCK,TREATMENT,RAPTOR,FOCALBIRD,SEX,VEG,HEIGHT,PREDDIST,PRED ANGLE,OBS DIST,PRED PERCH HEIGHT,FB FLIGHT ANGLE,SPALARMCALL,ALARM CALLER DISTANCE,FLIGHT DISTANCE,Alarm_Call,NoAlarmCall,Alarm Latency Focal Bird,Focal Bird,NonFocal Bird,TRIAL,Alarm Total,Urgent Total,SIZE
360,18-Jun-16,15:54,GY,6,PAUN FAR,PAUN,THAR,M,OPEN,4,16,45,17,7,8,THAR,NA,3,0,1,NA,1,0,BEFORE,0,0,large
361,18-Jun-16,15:54,GY,6,PAUN FAR,PAUN,THAR,M,OPEN,4,16,45,17,7,8,THAR,NA,3,0,1,1.172,1,0,POST,2,0,large
284,19-Jul-16,14:33,YO,16,ACBI FAR,ACBI,THSY,M,OPEN,2,11,80,12,8,8,THSY,NA,14,0,1,NA,1,0,BEFORE,0,0,small
266,18-Jul-16,13:52,TNT,14,PAUN NEAR,PAUN,THAR,M,OPEN,1,1.5,0,11,5,9,THAR,NA,13,0,1,NA,1,NA,BEFORE,0,0,large
267,18-Jul-16,13:52,TNT,14,PAUN NEAR,PAUN,THAR,M,OPEN,1,1.5,0,11,5,9,THAR,NA,13,0,1,NA,1,0,POST,0,0,large
281,19-Jul-16,13:40,AH,1,ACBI MED,ACBI,THSY,F,COVERD,1,7,90,7,6,2,THSY,NA,15,0,1,NA,1,0,BEFORE,0,0,small
282,19-Jul-16,13:40,AH,1,ACBI MED,ACBI,THSY,F,COVERD,1,7,90,7,6,2,THSY,NA,15,0,1,NA,1,0,POST,0,0,small
264,18-Jul-16,13:13,ST,13,PAUN NEAR,PAUN,THSY,M,OPEN,8,4,0,8,3,7,THSY,NA,4,0,1,NA,1,0,BEFORE,0,0,large
265,18-Jul-16,13:13,ST,13,PAUN NEAR,PAUN,THSY,M,OPEN,8,4,0,8,3,7,THSY,NA,4,0,1,5,1,0,POST,1,0,large
279,19-Jul-16,13:06,CAPTIN,4,ACBI MED,ACBI,THSY,F,COVERD,6,7,80,13,0,4,THSY,NA,8,0,1,NA,1,0,BEFORE,11,0,small
277,19-Jul-16,12:31,BY,2,ACBI NEAR,ACBI,THAR,F,OPEN,2,3,0,8,15,9,THAR,NA,22,0,1,NA,0,0,BEFORE,0,0,small
278,19-Jul-16,12:31,BY,2,ACBI NEAR,ACBI,THAR,F,OPEN,2,3,0,8,15,9,THAR,NA,22,0,1,1.381,1,0,POST,1,1,small
262,18-Jul-16,12:11,YO,16,PAUN NEAR,PAUN,THSY,M,COVERD,8,3.5,0,9,5,6,THSY,NA,6,0,1,NA,1,0,BEFORE,NA,NA,large
242,16-Jul-16,11:43,ROSY,12,CONTROL,CONTROL,THSY,F,OPEN,8,3,10,15,NA,NA,THSY,NA,10,0,1,NA,1,0,BEFORE,8,2,NA
243,16-Jul-16,11:43,ROSY,12,CONTROL,CONTROL,THSY,F,OPEN,8,3,10,15,NA,NA,THSY,NA,10,0,1,4.316,1,0,POST,4,0,NA
260,18-Jul-16,11:25,O ,8,PAUN FAR,PAUN,THSY,M,OPEN,8,9,90,9,10,3,THSY,NA,NA,0,1,NA,1,0,BEFORE,0,0,large
