dob,season,sex,dod,mom_dob,age_at_delivery,age_at_death,treatment
1985-02-20T00:00:00Z,1985,u,1985-02-20T00:00:00Z,1981-06-13T00:00:00Z,3.693150685,0,control
1985-03-26T00:00:00Z,1985,u,1985-03-26T00:00:00Z,1981-03-05T00:00:00Z,4.060273973,0,control
1985-03-06T00:00:00Z,1985,m,1985-05-28T00:00:00Z,1981-01-01T00:00:00Z,4.178082192,0.22739726,control
1985-03-03T00:00:00Z,1985,m,1986-02-01T00:00:00Z,1981-02-16T00:00:00Z,4.043835616,0.917808219,control
1986-01-20T00:00:00Z,1986,u,1986-01-27T00:00:00Z,1981-04-24T00:00:00Z,4.745205479,0.019178082,control
1986-05-12T00:00:00Z,1986,m,1986-06-23T00:00:00Z,1980-03-16T00:00:00Z,6.15890411,0.115068493,control
1986-05-12T00:00:00Z,1986,m,1987-01-28T00:00:00Z,1982-03-27T00:00:00Z,4.128767123,0.715068493,control
1987-01-23T00:00:00Z,1987,u,1987-01-23T00:00:00Z,1980-02-12T00:00:00Z,6.950684932,0,control
1987-02-06T00:00:00Z,1987,m,1987-02-06T00:00:00Z,1980-01-12T00:00:00Z,7.073972603,0,control
1987-03-07T00:00:00Z,1987,m,1988-01-13T00:00:00Z,1981-06-13T00:00:00Z,5.734246575,0.854794521,control
1987-03-02T00:00:00Z,1987,f,1988-01-11T00:00:00Z,1982-02-22T00:00:00Z,5.024657534,0.863013699,control
1987-02-21T00:00:00Z,1987,f,1988-01-20T00:00:00Z,1980-02-04T00:00:00Z,7.052054795,0.912328767,control
1987-12-24T00:00:00Z,1988,f,1987-12-24T00:00:00Z,1980-02-12T00:00:00Z,7.868493151,0,control
1988-01-15T00:00:00Z,1988,f,1988-01-22T00:00:00Z,1983-02-22T00:00:00Z,4.898630137,0.019178082,control
1987-01-03T00:00:00Z,1987,f,1988-01-11T00:00:00Z,1981-01-13T00:00:00Z,5.975342466,1.021917808,control
1987-12-29T00:00:00Z,1988,f,1988-02-27T00:00:00Z,1981-02-04T00:00:00Z,6.901369863,0.164383562,control
1988-02-08T00:00:00Z,1988,m,1988-05-16T00:00:00Z,1983-01-31T00:00:00Z,5.024657534,0.268493151,control
1985-02-18T00:00:00Z,1985,f,1988-07-11T00:00:00Z,1980-03-16T00:00:00Z,4.931506849,3.394520548,control
1988-11-18T00:00:00Z,1989,m,1988-11-18T00:00:00Z,1982-01-31T00:00:00Z,6.802739726,0,hurricane
1988-12-11T00:00:00Z,1989,f,1988-12-11T00:00:00Z,1982-02-04T00:00:00Z,6.854794521,0,hurricane
1989-02-25T00:00:00Z,1989,m,1989-02-28T00:00:00Z,1982-03-26T00:00:00Z,6.926027397,0.008219178,hurricane
1989-01-29T00:00:00Z,1989,u,1989-02-02T00:00:00Z,1980-03-01T00:00:00Z,8.920547945,0.010958904,hurricane
1989-01-22T00:00:00Z,1989,f,1989-03-10T00:00:00Z,1985-02-28T00:00:00Z,3.901369863,0.128767123,hurricane
1984-02-25T00:00:00Z,1984,m,1989-05-17T00:00:00Z,1980-05-12T00:00:00Z,3.791780822,5.22739726,hurricane
1989-02-13T00:00:00Z,1989,m,1989-06-16T00:00:00Z,1985-02-17T00:00:00Z,3.991780822,0.336986301,hurricane
1989-01-25T00:00:00Z,1989,f,1989-05-31T00:00:00Z,1983-02-07T00:00:00Z,5.969863014,0.345205479,hurricane
1989-02-05T00:00:00Z,1989,f,1989-07-03T00:00:00Z,1981-02-16T00:00:00Z,7.975342466,0.405479452,hurricane
1989-04-03T00:00:00Z,1989,m,1989-11-08T00:00:00Z,1980-01-20T00:00:00Z,9.208219178,0.6,hurricane
1988-02-27T00:00:00Z,1988,m,1989-10-08T00:00:00Z,1982-02-22T00:00:00Z,6.016438356,1.61369863,hurricane
1986-04-25T00:00:00Z,1986,f,1990-03-01T00:00:00Z,1980-05-12T00:00:00Z,5.956164384,3.852054795,hurricane
1989-02-07T00:00:00Z,1989,m,1990-01-01T00:00:00Z,1983-03-06T00:00:00Z,5.931506849,0.898630137,hurricane
1990-03-06T00:00:00Z,1990,u,1990-03-07T00:00:00Z,1980-02-04T00:00:00Z,10.09041096,0.002739726,control
1990-01-21T00:00:00Z,1990,f,1990-01-26T00:00:00Z,1982-02-04T00:00:00Z,7.967123288,0.01369863,control
1990-01-13T00:00:00Z,1990,f,1990-01-29T00:00:00Z,1982-01-25T00:00:00Z,7.97260274,0.043835616,control
1989-12-31T00:00:00Z,1990,f,1990-02-09T00:00:00Z,1985-04-01T00:00:00Z,4.753424658,0.109589041,control
1990-03-12T00:00:00Z,1990,f,1990-05-25T00:00:00Z,1983-01-13T00:00:00Z,7.164383562,0.202739726,control
1990-02-12T00:00:00Z,1990,f,1990-05-02T00:00:00Z,1985-03-09T00:00:00Z,4.934246575,0.216438356,control
1990-01-01T00:00:00Z,1990,m,1990-04-06T00:00:00Z,1980-03-01T00:00:00Z,9.843835616,0.260273973,control
1989-01-15T00:00:00Z,1989,f,1990-04-23T00:00:00Z,1985-01-01T00:00:00Z,4.04109589,1.268493151,control
1990-01-29T00:00:00Z,1990,m,1990-05-10T00:00:00Z,1983-01-14T00:00:00Z,7.046575342,0.276712329,control
1990-04-23T00:00:00Z,1990,m,1990-08-09T00:00:00Z,1986-01-29T00:00:00Z,4.232876712,0.295890411,control
1984-02-19T00:00:00Z,1984,f,1990-06-06T00:00:00Z,1980-04-14T00:00:00Z,3.852054795,6.298630137,control
1990-01-23T00:00:00Z,1990,m,1990-06-15T00:00:00Z,1984-02-19T00:00:00Z,5.931506849,0.391780822,control
1985-05-24T00:00:00Z,1985,f,1990-12-14T00:00:00Z,1981-01-13T00:00:00Z,4.361643836,5.561643836,control
1986-02-01T00:00:00Z,1986,f,1990-11-20T00:00:00Z,1982-04-09T00:00:00Z,3.819178082,4.802739726,control
1985-02-28T00:00:00Z,1985,f,1991-01-21T00:00:00Z,1981-02-04T00:00:00Z,4.068493151,5.898630137,control
1990-01-27T00:00:00Z,1990,f,1991-01-15T00:00:00Z,1986-02-03T00:00:00Z,3.983561644,0.967123288,control
1990-01-09T00:00:00Z,1990,m,1991-01-15T00:00:00Z,1982-03-26T00:00:00Z,7.797260274,1.016438356,control
1990-11-22T00:00:00Z,1991,f,1990-12-19T00:00:00Z,1983-01-14T00:00:00Z,7.860273973,0.073972603,control
1989-02-09T00:00:00Z,1989,f,1991-04-19T00:00:00Z,1984-02-12T00:00:00Z,4.997260274,2.189041096,control
1987-12-11T00:00:00Z,1988,m,1991-03-05T00:00:00Z,1980-01-27T00:00:00Z,7.876712329,3.232876712,control
1990-12-23T00:00:00Z,1991,f,1991-03-30T00:00:00Z,1980-02-09T00:00:00Z,10.87671233,0.265753425,control
1989-01-10T00:00:00Z,1989,f,1991-04-22T00:00:00Z,1985-03-22T00:00:00Z,3.808219178,2.279452055,control
1991-01-30T00:00:00Z,1991,f,1991-07-08T00:00:00Z,1982-02-10T00:00:00Z,8.975342466,0.435616438,control
1985-04-21T00:00:00Z,1985,f,1991-10-29T00:00:00Z,1980-01-27T00:00:00Z,5.235616438,6.526027397,control
1990-12-17T00:00:00Z,1991,m,1991-07-18T00:00:00Z,1985-04-01T00:00:00Z,5.715068493,0.583561644,control
1991-05-06T00:00:00Z,1991,f,1992-01-01T00:00:00Z,1984-02-23T00:00:00Z,7.202739726,0.657534247,control
1991-05-04T00:00:00Z,1991,f,1992-01-01T00:00:00Z,1984-02-27T00:00:00Z,7.18630137,0.663013699,control
1990-01-21T00:00:00Z,1990,m,1991-10-09T00:00:00Z,1985-03-22T00:00:00Z,4.838356164,1.715068493,control
