Location,Site.Code,Region,Latitude,Longitude ,Year,Class,Species,GenBank.ID,CAS.ID,Haplotype,Species,Clade,Foltz.ID.LSU,,,
"Auke Bay, AK",AB,Alaska,58.38, −134.64,2014,Contemporary,Leptasterias aequalis,,,,,,,,,
"Sage Bay, AK",SB,Alaska,57.05, −135.34,2014,Contemporary,Leptasterias aequalis,,,,,,,,,
"Griffin Bay, WA",GB,Washington,48.5, −123.02,2014,Contemporary,Leptasterias aequalis,,,,,,,,,
"Lonesome Cove, WA",LC,Washington,46.63262,-121.13675,1998,Historic,Leptasterias aequalis,,,,,,Q69,,,
"Lonesome Cove, WA",LC,Washington,46.63262,-121.13675,1998,Historic,Leptasterias aequalis,,,,,,Q71,,,
"Crescent City, CA",CC,Northern,41.75575,-124.20259,1897,Historic,Leptasterias aequalis,,191756,,,,,,,
"Twin Cove, CA",TC,Northern,38.43, −123.12,2011,Contemporary,Leptasterias aequalis,,,,,,,,,
"Marshall Gulch, CA",MG,Northern,38.37, −123.07,2008,Contemporary,Leptasterias aequalis,,,,,,,,,
"Bodega Bay, CA",BB,Northern,38.3, −123.06,2008,Contemporary,Leptasterias aequalis,,,,,,,,,
"Bodega Head, CA",BB,Northern,38.3, −123.06,1963,Historic,Leptasterias aequalis,,115521,,,,,,,
"Duxbury Reef, CA",DR,Bay-proximal,37.89, −122.70,2014,Contemporary,Leptasterias aequalis,,,,,,,,,
"Duxbury Reef, CA",DR,Bay-proximal,37.89, −122.70,1998,Historic,Leptasterias aequalis,,115493,,,,,,,
"Slide Ranch, CA",SR,Bay-proximal,37.87, −122.60,2014,Contemporary,Leptasterias aequalis,,,,,,,,,
"Muir Beach, CA",MB,Bay-proximal,37.86, −122.59,2013,Contemporary,Leptasterias aequalis,,,,,,,,,
"Rodeo Beach, CA",RB,Bay-proximal,37.82, −122.53,2014,Contemporary,Leptasterias aequalis,,,,,,,,,
"Point Bonita, CA",PB,Bay-proximal,37.81, −122.53,2014,Contemporary,Leptasterias aequalis,,,,,,,,,
"Point Bonita, CA",PB,Bay-proximal,37.81, −122.53,1973,Historic,Leptasterias aequalis,,115524,,,,,,,
"Lands End, CA",LE,Bay-proximal,37.78, −122.50,2013,Contemporary,Leptasterias aequalis,,,,,,,,,
"SE Farallon Islands, CA",FI,Bay-proximal,37.73326,-123.03445,1977,Historic,Leptasterias aequalis,,4826,,,,,,,
"Mussel Rock, CA",MR,Bay-proximal,37.5, −122.49,2008,Contemporary,Leptasterias aequalis,,,,,,,,,
"Half Moon Bay, CA",HMB,Southern,37.18, −122.39,2014,Contemporary,Leptasterias aequalis,,,,,,Foltz,,,
"Pigeon Point, CA",PP,Southern,37.18, −122.39,2014,Contemporary,Leptasterias aequalis,,,,,,Foltz,,,
"Pigeon Point, CA",PP,Southern,37.18, −122.39,1971,Historic,Leptasterias aequalis,,7676,,,,,,,
"Pigeon Point, CA",PP,Southern,37.18, −122.39,1972,Historic,Leptasterias aequalis,,191755,,,,,,,
"Pigeon Point, CA",PP,Southern,37.18, −122.39,1972,Historic,Leptasterias aequalis,,7642,,,,,,,
"Pigeon Point, CA",PP,Southern,37.18, −122.39,1998,Historic,Leptasterias aequalis,,,,,,Foltz,,,
"Franklin Point, CA",FP,Southern,37.14967,-122.36053,1972,Historic,Leptasterias aequalis,,7645,,,,,,,
"Franklin Point, CA",FP,Southern,37.14967,-122.36053,1998,Historic,Leptasterias aequalis,,,,,,Foltz,,,
"Point Pinos, CA",PN,Southern,36.64, −121.95,2014,Contemporary,Leptasterias aequalis,,,,,,,,,
"Pacific Grove, CA",PG,Southern,36.61778,-121.91666,1897,Historic,Leptasterias aequalis,,191756,,,,,,,
"Pacific Grove, CA",PG,Southern,36.61778,-121.91666,1909,Historic,Leptasterias aequalis,,108854,,,,,,,
"Carmel Point, CA",CP,Southern,36.54, −121.93,2014,Contemporary,Leptasterias aequalis,,,,,,,,,
"Piedras Blancas, CA",PE,Southern,35.66553,-121.28416,1978,Historic,Leptasterias aequalis,,164031,,,,,,,
"Piedras Blancas, CA",PE,Southern,35.66553,-121.28416,1978,Historic,Leptasterias aequalis,,115497,,,,,,,
"San Simeon, CA",SS,Southern,35.64389,-121.18972,1916,Historic,Leptasterias aequalis,,115491,,,,,,,
"Diablo Canyon, CA",DC,Southern,35.20417,-120.85917,1974,Historic,Leptasterias aequalis,,135003,,,,,,,
