sand,size,tb
wet,small,26.6
wet,small,35.7
wet,small,25.5
wet,small,27.1
wet,small,27.3
wet,small,25.7
wet,small,25.7
wet,small,30
wet,small,27.7
wet,small,28.3
wet,small,26.7
wet,small,23.3
wet,small,28.2
wet,small,30.9
wet,small,27.2
wet,small,23.7
wet,small,24.9
wet,small,27.7
wet,small,22.4
wet,small,26.8
wet,large,25.3
wet,large,22
wet,large,28.2
wet,large,28.8
wet,large,23.8
wet,large,27.8
wet,large,27.5
wet,large,27.8
wet,large,27.5
wet,large,26.6
wet,large,25.7
wet,large,26.6
wet,large,29.7
wet,large,28.3
wet,large,22.4
wet,large,26.7
wet,large,24.7
wet,large,30.1
wet,large,28.3
wet,large,26.2
dry,small,18
dry,small,15
dry,small,18.7
dry,small,16.2
dry,small,19.1
dry,small,16.9
dry,small,16
dry,small,14.3
dry,small,19.9
dry,small,18.9
dry,small,19.3
dry,small,19
dry,small,18.3
dry,small,19.9
dry,small,15.6
dry,small,16.1
dry,small,15.4
dry,small,16.8
dry,small,18.6
dry,small,18.9
dry,large,16.7
dry,large,20.8
dry,large,20.6
dry,large,18
dry,large,19.6
dry,large,16.3
dry,large,18
dry,large,20.1
dry,large,20.6
dry,large,23
dry,large,20.2
dry,large,20.4
dry,large,19.9
dry,large,16.1
dry,large,17.3
dry,large,16.4
dry,large,20.2
dry,large,22.6
dry,large,20.8
dry,large,24.5
