Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	bl[98]	bl[99]	bl[100]	bl[101]	bl[102]	bl[103]	bl[104]	bl[105]	bl[106]	bl[107]	bl[108]	bl[109]	bl[110]	bl[111]	bl[112]	bl[113]	bl[114]	bl[115]	bl[116]	bl[117]	bl[118]	bl[119]	bl[120]	bl[121]	bl[122]	bl[123]	bl[124]	bl[125]	bl[126]	bl[127]	bl[128]	bl[129]	bl[130]	bl[131]	bl[132]	bl[133]	bl[134]	bl[135]	bl[136]	bl[137]	bl[138]	bl[139]	bl[140]	bl[141]	bl[142]	bl[143]	bl[144]	bl[145]	bl[146]	bl[147]	bl[148]	bl[149]	bl[150]	bl[151]	bl[152]	bl[153]	bl[154]	bl[155]	bl[156]	bl[157]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-37638.27	-37544.61	-93.65715	0.121562	0.0009819	0.0112145	0.00107774	0.0239382	0.280617	0.047857	0.383106	0.0135171	0.0218016	0.0266461	0.14877	0.214537	0.00576423	0.0460651	0.315623	0.374746	0.0720822	0.137075	0.00684001	0.152383	0.0469777	0.0618407	0.0222321	0.0630362	0.0340128	0.0390728	0.208632	0.022383	0.0299569	0.25433	0.138987	0.081341	0.0356541	0.009194	0.211141	0.0129852	0.0872931	0.0953205	0.0712246	0.141363	0.359908	0.00938951	0.0987377	0.195522	0.109366	0.0678416	0.081441	0.00328348	0.015127	0.0362517	0.0469571	0.128033	0.0496639	0.0827061	0.0374618	0.0272066	0.247788	0.0782822	0.0780838	0.190368	0.0175927	0.019157	0.173328	0.0563662	0.0282314	0.422388	0.31944	0.0898408	0.433646	0.0471486	0.119598	0.296124	0.013943	0.0902027	0.00744064	0.0375734	0.0794178	0.0449727	0.234981	0.101223	0.151659	0.0669396	0.174528	0.0379884	0.0290087	0.0137555	0.164309	0.00325594	0.196822	0.245831	0.0888079	0.0948878	0.195787	0.0010833	0.0966181	0.00946073	0.0471798	0.0987515	0.0629295	0.0310956	0.322562	0.0845313	0.104618	0.156282	0.14171	0.0351736	0.383027	0.0228798	0.295198	0.0026354	0.077419	0.0827491	0.0138455	0.026413	0.111302	0.0404966	0.0543647	0.0722282	0.14259	0.00255262	0.013894	0.0508131	0.105719	0.00742659	0.0145111	0.00426194	0.156266	0.0114683	0.0210695	0.0449567	0.0949161	0.0239258	0.0870855	0.0339703	0.0859942	0.0416912	0.0646733	0.0539193	0.0288287	0.108457	0.124037	0.175082	0.160026	0.0159836	0.0198544	0.159667	0.181612	0.00910459	0.0343168	0.00117827	0.00285763	0.0849699	0.0168934	0.113857	0.122758	0.146549	0.0932776	0.168751	0.0492966	0.0307671	0.382357	0.275551	0.151899	0.0592366	0.300788	0.488076	15.05509
10	-18870.22	-18868.75	-1.465186	0.0408943	0.00165264	0.00853893	0.000308342	0.0123286	0.130879	0.0666641	0.0602291	0.00577172	0.0508174	0.0162777	0.0383838	0.0454033	0.0261148	0.0237749	0.144026	0.347624	0.0228722	0.020661	0.00516418	0.0621329	0.0130486	0.0382746	0.0139393	0.0207805	0.00410646	0.0158621	0.0254909	0.0135401	0.0194952	0.0510516	0.0339913	0.00774268	0.00761625	0.0126974	0.035884	0.00660038	0.0242931	0.0279101	0.0236328	0.0513622	0.11346	0.00408725	0.0188989	0.153628	0.0546649	0.0382202	0.0389487	0.00463942	0.0229511	0.00981585	0.0214662	0.0644383	0.0126915	0.0215846	0.0184321	0.00918793	0.043819	0.0377025	0.0356287	0.0351489	0.00839194	0.00873176	0.0375055	0.0208631	0.0112917	0.123126	0.0179695	0.0382084	0.117149	0.0580402	0.0608551	0.296124	0.0105094	0.0506645	0.0046451	0.0282777	0.0124115	0.0361236	0.068242	0.059575	0.10101	0.0166675	0.077721	0.0168118	0.010654	0.00586105	0.0522041	0.000774796	0.0430619	0.0590143	0.0249512	0.0570193	0.0551681	0.000933964	0.0459752	0.00303289	0.00568653	0.0294636	0.0519762	0.0220299	0.123919	0.032297	0.049151	0.0173056	0.0602602	0.00423985	0.173579	0.0123496	0.136518	0.00169767	0.0254335	0.00770371	0.00432032	0.0191515	0.0300153	0.00999161	0.00495178	0.000496708	0.070016	0.00406722	0.00856863	0.00700815	0.0731532	0.00162507	0.0014772	0.00118991	0.0685584	0.0032514	0.00546122	0.00752047	0.0107017	0.00293388	0.0246607	0.021656	0.00945788	0.0055018	0.013646	0.0327423	0.0028179	0.0869425	0.0697929	0.0771791	0.102674	0.00385366	0.0175266	0.00547698	0.0705344	0.00673146	0.0221668	0.000555977	0.00232036	0.0217501	0.00845668	0.00868664	0.0479635	0.107908	0.084825	0.148504	0.0182701	1.06739e-46	0.120788	0.627613	0.139256	0.115565	0.371347	0.373832	5.835891
20	-12548.03	-12581.89	33.85947	0.00845874	0.00159523	0.0107564	0.000145656	0.00304006	0.0319122	0.0715299	0.0164684	0.00499417	0.018349	0.0175705	0.019632	0.0293094	0.0166466	0.00898438	0.132665	0.0445371	0.00892859	0.00244219	0.00521929	0.0235529	0.00292902	0.00870356	0.014914	0.00614214	0.00626941	0.00276563	0.0114183	0.0200597	0.00408108	0.00943517	0.0102867	0.00206301	0.00823857	0.00339767	0.00511511	0.00371502	0.00900385	0.00763282	0.00400384	0.0224494	0.0268697	0.00239829	0.0109857	0.152201	0.00639267	0.0327414	0.014383	0.00250574	0.0226603	0.00616198	0.00753793	0.030657	0.00777277	0.00769697	0.00874377	0.00366751	0.0163158	0.0151979	0.0181658	0.0146227	0.00699461	0.00376073	0.0128116	0.00596331	0.0042544	0.0187087	0.00933162	0.00793617	0.0409963	0.00963283	0.0184738	0.065119	0.00569492	0.0119615	0.00351899	0.0107519	0.0105087	0.0141782	0.0338747	0.0209661	0.0207522	0.00503688	0.0196277	0.0335777	0.00546091	0.00432336	0.0127803	0.00113739	0.0410459	0.0302786	0.0155701	0.023752	0.0174366	0.00261181	0.0363262	0.00390215	0.00554682	0.0147106	0.0175539	0.00355436	0.0232005	0.0233918	0.0247803	0.00694994	0.00761126	0.00054304	0.0763059	0.00974828	0.0277441	0.00205594	0.00629222	0.00096277	0.00239807	0.00285887	0.00994721	0.0070603	0.00194705	0.000298486	0.0190009	0.00860848	0.00822244	0.00268755	0.0429555	0.000695161	0.00318892	0.00103238	0.0217108	0.00213988	0.00223445	0.0127227	0.00629964	0.00128546	0.00503258	0.00462605	0.00350756	0.00195568	0.00259026	0.0079977	0.00651627	0.0245747	0.0149064	0.0350027	0.0269456	0.00114998	0.0143159	0.0030761	0.0357688	0.0024029	0.0146108	0.000256791	0.00306045	0.00856941	0.00266985	0.0019498	0.0149499	0.0226471	0.178653	0.36723	0.0185023	4.0396e-46	0.283293	0.152322	0.216423	0.115926	0.372505	0.295147	2.303426
30	-9337.99	-9383.58	45.58998	0.00251985	0.00133776	0.0113148	0.00027171	0.00262785	0.0292172	0.0330879	0.0164684	0.00497577	0.00385673	0.0122645	0.00651097	0.0264356	0.0151602	0.00833303	0.0444652	0.00741573	0.00634021	0.00252599	0.00293762	0.00232642	0.001633	0.00728455	0.00771631	0.000651324	0.00588003	0.00406111	0.00400599	0.0217182	0.00134618	0.00509232	0.00694637	0.00176795	0.00527209	0.00108993	0.00437172	0.0122026	0.00415723	0.00303755	0.00260683	0.00440093	0.0102053	0.00404401	0.0107233	0.0538993	0.00306385	0.0316158	0.00404309	0.0015202	0.0087887	0.00678832	0.0024739	0.0190874	0.00387777	0.00694775	0.00254857	0.00884428	0.00550443	0.00424136	0.00304152	0.00463065	0.00353775	0.00259624	0.0047124	0.00640337	0.00407041	0.0142058	0.00813717	0.00999279	0.00976909	0.00525619	0.0111638	0.019257	0.00187627	0.00472906	0.00159608	0.00871373	0.00298473	0.00388981	0.00353952	0.00944558	0.00733505	0.00192375	0.0158607	0.0308946	0.00248037	0.00312425	0.00401154	0.00265025	0.00977479	0.0217384	0.0172504	0.00503585	0.00628436	0.00153876	0.0061362	0.00343759	0.00382621	0.0163842	0.0200315	0.00366205	0.00245957	0.0155218	0.0116265	0.000668251	0.00112383	0.000437636	0.0183274	0.00523003	0.0113801	0.000965772	0.00428101	0.0010654	0.00250673	0.000871221	0.00884058	0.00172379	0.00330787	0.000238289	0.00590554	0.00596881	0.0056788	0.00635904	0.0140818	0.00160489	0.00141826	0.00135497	0.00634942	0.00309778	0.00668938	0.00414257	0.00642334	0.00204715	0.00315146	0.00223499	0.000808764	0.00171617	0.00413741	0.00369788	0.00802082	0.00708593	0.00401655	0.0110474	0.00355145	0.000746429	0.0024517	0.00268423	0.0138612	0.00374356	0.00938738	0.00061029	0.00410569	0.00239882	0.00252724	0.00112657	0.00671391	0.00806822	0.085087	0.403642	0.0362664	1.38251e-45	0.313302	0.161703	0.326283	0.230128	0.247493	0.196096	1.130374
40	-7674.742	-7724.322	49.58034	0.00384791	0.000794207	0.00713918	0.000478647	0.00528126	0.0195361	0.005748	0.00267536	0.00292086	0.00276891	0.0124166	0.00432185	0.0141441	0.0133559	0.00457376	0.00994541	0.00469689	0.00363394	0.00146331	0.00519871	0.00178054	0.0024754	0.00249901	0.00334471	0.000157913	0.00741944	0.00333429	0.00222125	0.0194835	0.000522251	0.0023129	0.00600192	0.00351139	0.0118058	0.000855831	0.002594	0.00692533	0.00489362	0.00358163	0.00266678	0.00294509	0.00691103	0.0017004	0.0038523	0.0239729	0.00925356	0.0115367	0.00391409	0.0033472	0.00974476	0.0032581	0.00293513	0.0123725	0.00277227	0.00646765	0.00290956	0.00740482	0.00305432	0.00362473	0.000717336	0.00735289	0.00384968	0.00402062	0.00151476	0.00190953	0.00347281	0.00558312	0.00815691	0.00523542	0.00708613	0.00272979	0.00104642	0.00937267	0.00269949	0.00318303	0.000786743	0.00634799	0.00210518	0.00406704	0.00440575	0.00475247	0.0021052	0.00020109	0.0038525	0.0199049	0.00268098	0.00118743	0.00311403	0.00132816	0.00158389	0.0159061	0.00449875	0.00281064	0.0022922	0.00195941	0.0028921	0.00382346	0.00569363	0.0197727	0.00528725	0.00251526	0.00202455	0.0213023	0.00560607	0.00113851	0.000686839	8.95351e-05	0.0259135	0.00823637	0.00805519	0.00158579	0.00139465	0.000262418	0.00235915	0.00132904	0.00328705	0.00180813	0.00510831	0.000273834	0.00644072	0.00195008	0.00207902	0.00616487	0.00496566	0.00156462	0.00284345	0.000584878	0.00712069	0.001108	0.0053906	0.00206377	0.00232439	0.00128131	0.0053492	0.00157828	0.000649057	0.00206248	0.00245579	0.00349106	0.0052982	0.00171984	0.00228506	0.00598935	0.00122537	0.000418438	0.00174285	0.000731263	0.0026939	0.00273455	0.00552287	0.000499891	0.00286663	0.000895421	0.00186533	0.000843434	0.00740502	0.00556176	0.168637	0.346063	0.0431303	1.51963e-44	0.393216	0.0489533	0.31147	0.219681	0.236257	0.232592	0.7313392
50	-7002.849	-7053.828	50.97888	0.0016479	0.000785088	0.00612805	0.000552358	0.00368308	0.0111872	0.00405568	0.000753655	0.00171081	0.00346947	0.00672835	0.0055804	0.0127163	0.00799188	0.00380597	0.00282886	0.00413957	0.00410304	0.00128473	0.00369914	0.000486947	0.00147376	0.00229976	0.00307808	0.000252228	0.00382909	0.00133929	0.00174839	0.00874361	0.00119311	0.00166507	0.00256803	0.00679032	0.0175156	0.00157305	0.000936433	0.0023477	0.00144367	0.00186716	0.00294127	0.0018524	0.00097247	0.000564144	0.000979921	0.00600231	0.00479838	0.00651036	0.000985092	0.00197294	0.0036894	0.00250117	0.00109046	0.00324157	0.00118863	0.00931758	0.00167523	0.00430196	0.00173869	0.00331173	0.00446172	0.00433532	0.000704675	0.00178397	0.000755526	0.00319707	0.00313316	0.00103758	0.0098861	0.0063469	0.00543985	0.00458844	0.000260676	0.00365171	0.00352723	0.00164915	0.00133309	0.00750899	0.00266843	0.00360905	0.00738005	0.00817665	0.00406561	0.000228862	0.00100754	0.0166682	0.00220832	0.00195696	0.00162221	0.00406147	0.00199399	0.012939	0.00140276	0.00207634	0.00459633	0.000708175	0.00233215	0.0089182	0.00253886	0.0169592	0.00181855	0.00300179	0.00226032	0.0152236	0.00356139	0.000367532	0.000467026	4.18211e-05	0.0382426	0.00760244	0.00215496	0.00179298	0.00145244	0.000247165	0.00118087	0.000527624	0.00158366	0.00190239	0.00408783	0.000639989	0.0030611	0.000601644	0.00324134	0.00844078	0.00277465	0.00105219	0.00144172	0.000880838	0.0174356	0.00112666	0.00728953	0.000868394	0.00498721	0.000836142	0.00158214	0.00251694	0.00127648	0.00754577	0.0029473	0.00704631	0.0020362	0.0013131	0.00209996	0.00485014	0.000421598	0.000751466	0.00116151	0.00122589	0.0066719	0.00107739	0.00755184	0.000640391	0.00239296	0.000410458	0.000718037	0.000722755	0.00184806	0.0111233	0.134433	0.378696	0.0343822	2.04173e-44	0.400481	0.0520085	0.303402	0.21399	0.230137	0.252472	0.5914846
60	-6417.968	-6470.018	52.05033	0.000962293	0.00131382	0.00875624	0.000429997	0.000996434	0.00453353	0.00218561	0.00158644	0.00308147	0.0021288	0.00620072	0.0140786	0.0134523	0.00177117	0.00170726	0.000905699	0.00685789	0.00378008	0.00083894	0.00368097	0.000256054	0.00134806	0.00137363	0.00126917	0.000708019	0.000872682	0.00215061	0.00114733	0.00501155	0.0021293	0.00200222	0.00127045	0.00165903	0.00481817	0.00257213	0.00132171	0.00310612	0.00170534	0.0010191	0.000897505	0.00116632	0.00153634	0.000788149	0.0016425	0.00293285	0.00986456	0.00198751	0.00048797	0.00291923	0.00158726	0.00430293	0.00221714	0.00390439	0.00169328	0.00514748	0.00116537	0.00254437	0.00164811	0.00421208	0.00124074	0.00413491	0.000435661	0.00218493	0.00151217	0.00508075	0.000475718	0.000811034	0.00941717	0.00461846	0.00304178	0.00375712	0.00119939	0.00281945	0.00233601	0.00408283	0.00373512	0.00595867	0.00369303	0.00118498	0.00415762	0.00830433	0.00622474	0.00110138	0.000586981	0.0108058	0.00247225	0.00200472	0.00206044	0.00485148	0.00381209	0.00507539	0.000544451	0.00171329	0.00207682	0.000377816	0.00216578	0.00549904	0.00199294	0.00679813	0.00234227	0.0037018	0.00188006	0.00731846	0.00221746	0.000275611	0.000439335	0.000127346	0.0277864	0.00573786	0.000971045	0.00131519	0.00105249	0.000432764	0.00111553	0.00143972	0.0024011	0.00143036	0.00628146	0.000919984	0.00049019	0.000544543	0.00194833	0.0058849	0.00232017	0.0083346	0.000863576	0.000681898	0.0109237	0.00156589	0.00919432	0.0019684	0.00412222	0.00155856	0.00148873	0.000603718	0.00224738	0.00314966	0.00306676	0.0101147	0.0018402	0.000926579	0.00250911	0.00175398	8.10489e-05	0.000120103	0.000683453	0.00063353	0.00562059	0.0015773	0.00623542	0.000930154	0.00670886	0.000157449	0.000566331	0.000877141	0.00296683	0.00791385	0.130541	0.367733	0.0343908	2.49058e-44	0.388887	0.0784471	0.331397	0.20539	0.220888	0.242326	0.4843401
70	-6021.809	-6074.307	52.49849	0.00202456	0.00170942	0.012596	0.000429443	0.00141041	0.00148121	0.00252264	0.0026933	0.00472421	0.00560936	0.00620072	0.00568253	0.0104043	0.0029801	0.0026009	0.00513985	0.00503515	0.00130066	0.00120556	0.00767784	0.000891995	0.000681951	0.00110889	0.000470112	0.000323812	0.000736802	0.00192045	0.00148113	0.00353293	0.00429742	0.00143191	0.0014273	0.00158992	0.00213216	0.00323203	0.000238207	0.00277817	0.00118464	0.000659482	0.00117611	0.00106427	0.00164028	0.001766	0.001263	0.00107366	0.00487915	0.00478904	0.0010255	0.00504632	0.00152291	0.0035934	0.00166409	0.00126507	0.00139218	0.00574322	0.00106045	0.00338048	0.000898208	0.00234928	0.00236811	0.00405128	0.000240181	0.000567999	0.00110659	0.00384288	0.000313714	0.000316162	0.00593971	0.00435112	0.00201739	0.00110617	0.000901695	0.00101112	0.00261179	0.0012794	0.00229367	0.00483232	0.00256319	0.00318937	0.00501064	0.00135752	0.00196742	0.000513059	0.00111992	0.0223262	0.00326431	0.00071399	0.00639823	0.00389949	0.00532212	0.00669395	0.000641246	0.00260967	0.000479889	0.000376678	0.000641007	0.00769562	0.00174939	0.0069891	0.00271488	0.00103344	0.0017428	0.00349812	0.000606614	0.000268046	0.000244493	7.3782e-05	0.00994823	0.00373292	0.00142234	0.00206597	0.000645518	0.000480477	0.00153618	0.0015708	0.00199515	0.0032755	0.00575633	0.00123409	0.000840906	0.00187395	0.00340677	0.0114122	0.00218798	0.0105124	0.000871923	0.000657401	0.0088844	0.00155273	0.00965107	0.000377502	0.00293862	0.00128314	0.000805511	0.0017913	0.00198011	0.00726689	0.00283473	0.00278517	0.00112555	0.00032827	0.0097698	0.00205884	0.000157751	0.000159373	0.000638471	0.00125784	0.00620484	0.00196613	0.00304191	0.00240151	0.00380836	0.000198353	0.000943124	0.00130127	0.000613454	0.000975293	0.143198	0.359175	0.0398092	6.32394e-44	0.403781	0.0540366	0.331397	0.20539	0.220888	0.242326	0.4395239
80	-5865.466	-5918.13	52.6643	0.00280109	0.00136818	0.00706252	0.000563867	0.00314797	0.000641302	0.00326053	0.00209389	0.000952193	0.00800727	0.00203475	0.00421685	0.0129919	0.0021956	0.00226891	0.00234667	0.00428804	0.000738863	0.00348039	0.00829274	0.000532715	0.000305417	0.000403413	0.000251126	0.000466148	0.00164822	0.00249268	0.00131945	0.00379417	0.000962711	0.00127771	0.00289706	0.000487112	0.0041609	0.00181684	0.00123481	0.00224788	0.00321593	0.00059591	0.000894185	0.00147941	0.00151305	0.000246219	0.000744699	0.00250028	0.00517926	0.00204731	0.000774057	0.00320725	0.00188695	0.00531126	0.00260325	0.001563	0.00116399	0.00463916	0.00125694	0.004061	0.0018855	0.00237901	0.00322189	0.00476647	0.000125711	0.000875122	0.00115189	0.00453852	0.000460803	0.000990438	0.00585884	0.00377971	0.00229457	0.00152004	0.0005386	0.000438148	0.00262736	0.00298449	0.00157457	0.00188103	0.00150807	0.00140828	0.00267904	0.000666583	0.00111607	0.00037266	0.00225037	0.0173201	0.00251665	0.00155455	0.00451359	0.00108494	0.00349495	0.0060943	0.00043779	0.00247324	0.000995175	0.0014498	0.000791156	0.00920726	0.00310406	0.00783512	0.0022797	0.000347858	0.00113882	0.00287167	0.000777264	0.00101494	0.000203127	4.8468e-05	0.00604559	0.000851569	0.000510427	0.00294472	0.00181001	0.00018177	0.00468768	0.00201535	0.00248167	0.00374217	0.00391807	0.000424852	0.000754856	0.000856454	0.00165347	0.013528	0.00203498	0.00911837	0.00220585	0.00133534	0.00150967	0.00215862	0.00805952	0.00102926	0.00482724	0.000119192	0.000657217	0.00110824	0.0017736	0.0243775	0.00152736	0.00242124	0.000893417	0.000148052	0.00973854	0.00102889	0.000154561	0.000458456	0.000537072	0.00345994	0.00595714	0.00385019	0.00234041	0.004717	0.000519123	5.42268e-05	0.00136543	0.00188715	0.00073443	0.00504614	0.0765404	0.375906	0.0343099	5.217e-45	0.457673	0.0555705	0.335786	0.20811	0.223814	0.232289	0.4229433
90	-5790.06	-5842.747	52.68695	0.00131918	0.00106117	0.00729448	0.00114338	0.00217304	0.000700279	0.00227939	0.00184325	0.000958064	0.0100765	0.000541852	0.00500526	0.0165017	0.00336321	0.00501374	0.00155154	0.00215584	0.000180825	0.00189179	0.00682185	0.000343454	0.000815979	0.000265989	0.00015961	0.000490523	0.000952935	0.00230364	0.00210939	0.00215138	0.0030373	0.000745802	0.003054	0.000618223	0.00498935	0.0014053	0.00114905	0.00297756	0.00470622	0.000835088	0.0028659	0.00141624	0.00097822	0.00111644	0.00076965	0.00333722	0.00653822	0.0040092	0.000354104	0.00274846	0.00110115	0.00303056	0.00107653	0.00138927	0.00250929	0.0100899	0.00112267	0.00209217	0.00157074	0.00222661	0.00141615	0.00660821	0.000117746	0.00176039	0.00150095	0.00428622	0.000885045	0.000536621	0.0111356	0.00228989	0.00174201	0.00192492	0.000496781	0.000413759	0.00340472	0.00272938	0.000631397	0.00173114	0.00118788	0.00254567	0.000906134	0.000492614	0.00284722	0.000612171	0.000970324	0.0150857	0.00287836	0.000841387	0.00239844	0.000296831	0.00564749	0.00508598	0.000105454	0.00445357	0.000594022	0.000893246	0.00401347	0.00864126	0.00206551	0.0104073	0.00433858	0.000742803	0.00125628	0.00249652	0.000510102	0.00134072	0.000862536	3.0239e-05	0.00730229	0.00056072	0.000746486	0.00387917	0.00178828	0.000205085	0.00481624	0.00330293	0.00303545	0.00722205	0.00485931	0.000476011	0.000434925	0.0010389	0.00202892	0.00506611	0.000631966	0.01601	0.00261369	0.000568848	0.00161968	0.00196306	0.00483276	0.000496689	0.00392072	0.000699412	0.000476809	0.000690065	0.000565882	0.0226856	0.00128329	0.000581224	0.00163397	0.000312146	0.00469731	0.00097426	0.000408338	0.000368427	0.00121815	0.00154785	0.00608318	0.00255608	0.00213927	0.00264164	0.000394874	4.80513e-05	0.000627942	0.000461908	0.000174111	0.00449942	0.105147	0.349235	0.0392191	5.54036e-45	0.433966	0.0724329	0.335786	0.20811	0.223814	0.232289	0.4206778
