replicate,treatment,ct
1,dmso,-0.006138166
2,dmso,0.020711581
3,dmso,-0.014573415
4,dmso,-0.345704079
5,dmso,-0.078384399
6,dmso,0.424088478
7,dmso,-2.483995438
8,dmso,-2.052
9,dmso,2.48399544
10,dmso,0.389336109
11,dmso,-0.12465
12,dmso,-0.389336109
1,10 micromolar,-0.742189725
2,10 micromolar,-0.583672841
3,10 micromolar,-0.510440191
4,10 micromolar,-1.683847427
5,10 micromolar,-1.131113052
6,10 micromolar,-0.633773804
7,10 micromolar,-1.992138863
8,10 micromolar,-1.111369133
9,10 micromolar,-1.20458
10,10 micromolar,-1.530917645
11,10 micromolar,-2.314045429
12,10 micromolar,-2.723840237
1,1 micromolar,0.238976161
2,1 micromolar,0.130634944
3,1 micromolar,-0.094610532
4,1 micromolar,0.099246979
5,1 micromolar,-0.227884293
6,1 micromolar,-0.058591843
7,1 micromolar,-1.0456
8,1 micromolar,-0.838516235
9,1 micromolar,-1.773560524
10,1 micromolar,-0.210866451
11,1 micromolar,0.15319109
12,1 micromolar,0.713319302
