sample name,n,s,H,season,elevation,plant,stage_lep,invertebrate
2 high 80 Lep,1976,28,1.073907919,Fall,high,Lep,early_senescence,canopy
2 high 60 Lep,377,28,2.000020811,Fall,high,Lep,early_senescence,canopy
2 mid 60 Lep,513,34,2.215132781,Fall,mid,Lep,early_senescence,canopy
2 mid 0 Lep,1330,42,1.761914453,Fall,mid,Lep,early_senescence,canopy
2 low 40 Lep,345,35,2.286133321,Fall,low,Lep,early_senescence,canopy
2 low 20 Lep,1130,36,1.814826161,Fall,low,Lep,early_senescence,canopy
2 high 80 Lep,133,30,2.917597104,Spring,high,Lep,rosette,canopy
2 high 60 Lep,232,42,2.797333073,Spring,high,Lep,rosette,canopy
2 mid 60 Lep,264,38,2.463899561,Spring,mid,Lep,rosette,canopy
2 mid 20 Lep,699,41,1.517608134,Spring,mid,Lep,rosette,canopy
2 low 40 Lep,501,52,2.216106727,Spring,low,Lep,rosette,canopy
2 low 20 Lep,295,48,2.968265648,Spring,low,Lep,rosette,canopy
2 high 80 Lep,364,32,2.897421524,Summer,high,Lep,flowering,canopy
2 high 60 Lep,204,,1.832632724,Summer,high,Lep,flowering,canopy
2 mid 60 Lep,1360,45,2.453591299,Summer,mid,Lep,flowering,canopy
2 mid 0 Lep,1242,44,2.599503178,Summer,mid,Lep,flowering,canopy
2 low 40 Lep,1962,53,2.54874911,Summer,low,Lep,flowering,canopy
2 low 20 Lep,1974,54,2.548386193,Summer,low,Lep,flowering,canopy
2 high 80 Lep,230,17,2.379099003,Winter,high,Lep,senescence,canopy
2 high 60 Lep,60,11,2.101207642,Winter,high,Lep,senescence,canopy
2 mid 60 Lep,90,19,2.63233514,Winter,mid,Lep,senescence,canopy
2 mid 0 Lep,204,15,1.612191331,Winter,mid,Lep,senescence,canopy
2 low 40 Lep,86,19,2.697041676,Winter,low,Lep,senescence,canopy
2 low 80 Lep,60,18,2.615630577,Winter,low,Lep,senescence,canopy
2 low lep 20,3,5,1.549826046,Fall,Low,Lep,early_senescence,soil
2 low lep 60,6,2,0.562335145,Fall,Low,Lep,early_senescence,soil
