year,month,day,date,sex,tag,size_class,disc_width,length,location,tide
2000,April,7,2000-04-07,M,4,Medium,16.3,23,Seal Beach,Low
2000,April,7,2000-04-07,F,5,Medium,14.1,19,Seal Beach,Low
2000,April,7,2000-04-07,M,6,Large,17.8,25,Seal Beach,Low
2000,April,7,2000-04-07,M,8,Medium,13.3,17.5,Seal Beach,Low
2000,April,7,2000-04-07,F,11,Medium,13.1,17,Seal Beach,Low
2000,April,7,2000-04-07,F,12,Medium,14.3,24,Seal Beach,Low
2000,April,7,2000-04-07,M,13,Large,20.4,26,Seal Beach,Low
2000,April,7,2000-04-07,NA,15,Large,17.1,28,Seal Beach,Low
2000,April,7,2000-04-07,F,16,Medium,13.4,23,Seal Beach,Low
2000,April,7,2000-04-07,F,18,Medium,16.5,26,Seal Beach,Low
2000,April,7,2000-04-07,M,19,Large,16.8,24,Seal Beach,Low
2000,April,7,2000-04-07,F,21,Medium,15.8,21,Seal Beach,Low
2000,April,7,2000-04-07,NA,23,Medium,13.3,22,Seal Beach,Low
2000,April,7,2000-04-07,M,26,Medium,14.8,22,Seal Beach,Low
2000,April,7,2000-04-07,M,27,Medium,15.8,22,Seal Beach,Low
2000,April,7,2000-04-07,M,28,Large,18.8,26,Seal Beach,Low
2000,April,7,2000-04-07,F,29,Medium,15.4,20.5,Seal Beach,Low
2000,April,7,2000-04-07,F,30,Medium,14.3,20.5,Seal Beach,Low
2000,April,7,2000-04-07,F,31,Medium,14.3,21,Seal Beach,Low
2000,April,7,2000-04-07,F,32,Medium,13.6,21,Seal Beach,Low
2000,April,7,2000-04-07,M,33,Large,17,22.5,Seal Beach,Low
2000,April,7,2000-04-07,F,36,Medium,13.5,18.5,Seal Beach,Low
2000,April,7,2000-04-07,M,37,Medium,14.4,22.5,Seal Beach,Low
2000,April,7,2000-04-07,F,38,Small,11.5,18,Seal Beach,Low
2000,April,7,2000-04-07,F,39,Medium,14,22.5,Seal Beach,Low
2000,April,7,2000-04-07,M,41,Large,18,26,Seal Beach,Low
2000,April,7,2000-04-07,M,45,Medium,13.1,18,Seal Beach,Low
2000,April,7,2000-04-07,M,47,Large,18.7,27,Seal Beach,Low
2000,April,7,2000-04-07,M,49,Large,17.7,17,Seal Beach,Low
2000,April,7,2000-04-07,M,51,Large,17.5,29.5,Seal Beach,Low
2000,April,7,2000-04-07,M,54,Medium,14,21,Seal Beach,Low
2000,April,7,2000-04-07,M,55,Large,17,26,Seal Beach,Low
2000,April,7,2000-04-07,M,56,Large,17.2,24,Seal Beach,Low
2000,April,7,2000-04-07,M,57,Large,17.4,26,Seal Beach,Low
2000,April,7,2000-04-07,NA,58,Medium,16.5,25,Seal Beach,Low
2000,April,7,2000-04-07,M,59,Medium,16.5,23,Seal Beach,Low
2000,April,7,2000-04-07,M,60,Large,16.9,30,Seal Beach,Low
2000,April,7,2000-04-07,M,61,Medium,14.7,21,Seal Beach,Low
2000,April,7,2000-04-07,M,62,Medium,15.9,23,Seal Beach,Low
2000,April,7,2000-04-07,M,75,Medium,15.2,21,Seal Beach,Low
2000,April,7,2000-04-07,M,76,Medium,16.1,23,Seal Beach,Low
2000,April,7,2000-04-07,M,77,Medium,14.4,21,Seal Beach,Low
2000,April,7,2000-04-07,M,79,Medium,13.8,21,Seal Beach,Low
2000,April,7,2000-04-07,F,80,Medium,15.9,27,Seal Beach,Low
2000,April,7,2000-04-07,M,81,Large,18.1,21,Seal Beach,Low
2000,April,7,2000-04-07,F,93,Medium,13.3,19,Seal Beach,Low
2000,April,7,2000-04-07,M,94,Medium,14.3,27,Seal Beach,Low
2000,April,7,2000-04-07,F,97,Small,12.6,19,Seal Beach,Low
2000,April,7,2000-04-07,F,98,Medium,14,19,Seal Beach,Low
2000,May,5,2000-05-05,F,111,Small,9.6,14.5,Seal Beach,Low
2000,May,5,2000-05-05,F,125,Small,13,19,Seal Beach,Low
2000,May,5,2000-05-05,M,152,Small,10.9,15,Seal Beach,Low
2000,May,5,2000-05-05,F,154,Small,7.6,11,Seal Beach,Low
2000,May,5,2000-05-05,F,179,Small,11.8,12,Seal Beach,Low
2000,May,5,2000-05-05,F,185,Medium,13.1,20,Seal Beach,Low
2000,May,5,2000-05-05,F,186,Medium,14.7,24,Seal Beach,Low
2000,May,5,2000-05-05,F,190,Small,11.4,NA,Seal Beach,Low
2000,May,5,2000-05-05,F,199,Small,13,21,Seal Beach,Low
2000,May,5,2000-05-05,F,20,Medium,13.7,21,Seal Beach,Low
2000,May,5,2000-05-05,F,40,Small,13,21,Seal Beach,Low
2000,May,5,2000-05-05,F,44,Small,11,18,Seal Beach,Low
2000,May,5,2000-05-05,M,53,Medium,13.9,22,Seal Beach,Low
2000,May,5,2000-05-05,M,65,Small,11.4,19,Seal Beach,Low
2000,May,5,2000-05-05,M,68,Medium,14.2,22,Seal Beach,Low
2000,May,5,2000-05-05,F,72,Medium,14.4,19,Seal Beach,Low
2000,May,5,2000-05-05,F,86,Small,10.9,14,Seal Beach,Low
2000,May,5,2000-05-19,F,9,Medium,14.4,21,Seal Beach,Low
2000,May,5,2000-05-19,F,30,Small,13,21,Seal Beach,Low
2000,May,5,2000-05-19,F,35,Medium,13.2,20,Seal Beach,Low
2000,May,5,2000-05-19,F,42,Large,18.1,22,Seal Beach,Low
2000,May,5,2000-05-19,F,43,Large,16.6,25,Seal Beach,Low
2000,May,5,2000-05-19,F,52,Large,17.7,26,Seal Beach,Low
2000,May,5,2000-05-19,F,64,Large,16.8,27,Seal Beach,Low
2000,May,5,2000-05-19,F,67,Medium,15.5,21,Seal Beach,Low
2000,May,5,2000-05-19,F,91,Large,19.9,21,Seal Beach,Low
2000,May,5,2000-05-19,F,99,Medium,14.7,24,Seal Beach,Low
2000,May,5,2000-05-19,F,100,Medium,14.2,22,Seal Beach,Low
2000,May,5,2000-05-19,F,101,Large,19.3,29,Seal Beach,Low
2000,May,5,2000-05-19,F,102,Small,12.7,27,Seal Beach,Low
2000,May,5,2000-05-19,F,103,Large,18.5,29,Seal Beach,Low
2000,May,5,2000-05-19,F,104,Medium,15.1,19,Seal Beach,Low
2000,May,5,2000-05-19,F,105,Large,17,29,Seal Beach,Low
2000,May,5,2000-05-19,F,106,Medium,13.5,22,Seal Beach,Low
2000,May,5,2000-05-19,F,107,Large,18.4,27,Seal Beach,Low
2000,May,5,2000-05-19,F,108,Medium,14.5,24,Seal Beach,Low
2000,May,5,2000-05-19,F,109,Medium,14.6,25,Seal Beach,Low
2000,May,5,2000-05-19,F,110,Medium,14.6,23,Seal Beach,Low
2000,May,5,2000-05-19,F,112,Large,20.9,32,Seal Beach,Low
2000,May,5,2000-05-19,F,114,Medium,13.6,22,Seal Beach,Low
2000,May,5,2000-05-19,F,115,Large,16.8,27,Seal Beach,Low
2000,May,5,2000-05-19,F,116,Medium,14.1,24,Seal Beach,Low
2000,May,5,2000-05-19,F,117,Medium,16.3,23,Seal Beach,Low
2000,May,5,2000-05-19,F,118,Medium,15.2,21,Seal Beach,Low
2000,May,5,2000-05-19,F,119,Medium,15.5,20,Seal Beach,Low
2000,May,5,2000-05-19,F,120,Small,12.7,19,Seal Beach,Low
2000,May,5,2000-05-19,F,121,Medium,14.4,20,Seal Beach,Low
2000,May,5,2000-05-19,F,122,Large,19.4,36,Seal Beach,Low
2000,May,5,2000-05-19,F,123,Medium,14.2,20,Seal Beach,Low
2000,May,5,2000-05-19,F,124,Large,17,21,Seal Beach,Low
2000,May,5,2000-05-19,F,126,Large,19.6,22,Seal Beach,Low
2000,May,5,2000-05-19,F,127,Medium,15.1,27,Seal Beach,Low
2000,May,5,2000-05-19,F,128,Large,18,29.5,Seal Beach,Low
2000,May,5,2000-05-19,F,129,Large,19,9,Seal Beach,Low
2000,May,5,2000-05-19,F,131,Large,18.1,33,Seal Beach,Low
2000,May,5,2000-05-19,F,132,Large,21,31,Seal Beach,Low
2000,May,5,2000-05-19,F,133,Small,10.2,8,Seal Beach,Low
2000,May,5,2000-05-19,F,134,Large,17.1,28,Seal Beach,Low
2000,May,5,2000-05-19,F,135,Large,17.7,30,Seal Beach,Low
2000,May,5,2000-05-19,F,136,Medium,14.3,NA,Seal Beach,Low
2000,May,5,2000-05-19,F,137,Large,16.8,21,Seal Beach,Low
2000,May,5,2000-05-19,F,138,Medium,13.4,24.5,Seal Beach,Low
2000,May,5,2000-05-19,F,139,Medium,15,24,Seal Beach,Low
2000,May,5,2000-05-19,F,141,Medium,15,30,Seal Beach,Low
2000,May,5,2000-05-19,F,142,Medium,13.4,18,Seal Beach,Low
2000,May,5,2000-05-19,F,143,Small,11.9,23,Seal Beach,Low
2000,May,5,2000-05-19,F,144,Medium,13.8,21,Seal Beach,Low
2000,May,5,2000-05-19,F,145,Medium,14.8,23,Seal Beach,Low
2000,May,5,2000-05-19,F,146,Medium,16,19,Seal Beach,Low
2000,May,5,2000-05-19,F,147,Large,22,28,Seal Beach,Low
2000,May,5,2000-05-19,F,148,Medium,13.6,19,Seal Beach,Low
2000,May,5,2000-05-19,F,149,Large,21,NA,Seal Beach,Low
2000,May,5,2000-05-19,F,150,Medium,14.7,24,Seal Beach,Low
2000,May,5,2000-05-19,F,151,Large,17.7,33,Seal Beach,Low
2000,May,5,2000-05-19,F,153,Large,18.3,31,Seal Beach,Low
2000,May,5,2000-05-19,F,155,Medium,13.3,27,Seal Beach,Low
2000,May,5,2000-05-19,F,156,Large,18,28,Seal Beach,Low
2000,May,5,2000-05-19,F,157,Medium,16.5,28,Seal Beach,Low
2000,May,5,2000-05-19,M,157,Medium,15.4,22,Seal Beach,Low
2000,May,5,2000-05-19,M,158,Medium,13.4,21,Seal Beach,Low
2000,May,5,2000-05-19,M,160,Large,18.9,26,Seal Beach,Low
2000,May,5,2000-05-19,M,161,Large,16.7,29,Seal Beach,Low
2000,May,5,2000-05-19,M,162,Medium,15,21,Seal Beach,Low
2000,May,5,2000-05-19,M,163,Large,17,25,Seal Beach,Low
2000,May,5,2000-05-19,M,164,Medium,15.9,28,Seal Beach,Low
2000,May,5,2000-05-19,M,165,Large,17.6,26,Seal Beach,Low
