"Area_ha","Log_Area","Perim_m","Log_perim","PA_ratio","Euc_source_m","Log_Euc_source_m","Euc_source_km","Euc_forest_m","Log_Euc_forest_m","Euc_forest_km","CD_comm_source","Log_CD_comm_source","CD_comm_forest","Log_CD_comm_forest","CD_pred_source","Log_CD_pred_source","CD_pred_forest","Log_CD_pred_forest","CD_deer_source","Log_CD_deer_source","CD_deer_forest","Log_CD_deer_forest","Natural_1km","Patch_proximity","Site","Year","Rodents_Present","Rodent_Rich","Rodent_Shannon","NEFUwPERO_abund","Pero_abund","Nefu_abund","Wildlife_Richness","Wildlife_Present","Wildlife_Shannon","Predator_Richness","Predators_Present","Predator_Shannon_NoCat","Predator_Shannon_wCat","AllMammal_Richness","DOT","DOL","DOA","DON","NIP_weight","Lagged_DON","DIN_Bbss","Lagged_DIN_Bbss","DIN_Bbsl","Lagged_DIN_Bbsl","Qnymph_Bbss_prev","Lagged_Qnymph_Bbss_prev","Qnymph_Bbsl_prev","Lagged_Qnymph_Bbsl_prev","Qnymph_Rt_prev","Qnymph_Bm_prev","Min_OspC_Rich"
1193,3.08,47848.5,4.68,40.1,4701,3.67,4.7,7370.7,3.87,7.4,13919.4,4.14,20769.3,4.32,7932,3.9,13389,4.13,17998,4.3,27382,4.4,3.14,NA,"CCSP",2016,"NEFU, PETR, PEMA",3,0.7261865,32,9,23,4,"Deer, Turkey, Squirrel, Black-tailed jackrabbit",0.695,0,"",0,0,7,253,199,12,42,42,33,2,NA,2,NA,0.05,NA,0.05,NA,0,0.05,NA
1193,3.08,47848.5,4.68,40.1,4701,3.67,4.7,7370.7,3.87,7.4,13919.4,4.14,20769.3,4.32,7932,3.9,13389,4.13,17998,4.3,27382,4.4,3.14,NA,"CCSP",2018,"NEFU, PETR, PEMA, MICA, REME",5,1.163898,34,33,1,6,"Deer, Squirrel, Rabbits, Turkey, Coyote, Raccoon",1.3805,2,"Coyote, Raccoon",0.6829081,0.6829081,11,747,633,6,108,108,167,25,37,25,51,0.24,0.223,0.24,0.31,0,0.0619,4
1193,3.08,47848.5,4.68,40.1,4701,3.67,4.7,7370.7,3.87,7.4,13919.4,4.14,20769.3,4.32,7932,3.9,13389,4.13,17998,4.3,27382,4.4,3.14,NA,"CCSP",2019,"NEFU, PETR, PEMA",3,0.6798737,44,32,12,5,"Deer, Squirrel, Black-tailed jackrabbit, Raccoon, Turkey",0.8109,1,"Raccoon",0,0,8,478,308,3,167,167,88,37,15,51,17,0.223,0.171,0.31,0.193,0,NA,5
1193,3.08,47848.5,4.68,40.1,4701,3.67,4.7,7370.7,3.87,7.4,13919.4,4.14,20769.3,4.32,7932,3.9,13389,4.13,17998,4.3,27382,4.4,3.14,NA,"CCSP",2021,"MICA, NEFU, PEMA, PETR",4,0.11611365,33,25,8,7,"Deer, Squirrel, Black-tailed jackrabbit, Raccoon, Turkey, Coyote, Skunk",1.3243,3,"Raccoon, Coyote, Skunk",1.098612289,1.098612289,11,114,9,1,104,102,NA,10,NA,11,NA,0.099,NA,0.108,NA,0,0,NA
151123,5.18,339044.4,5.53,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,NA,"FL",2018,"NEFU, PECA, PETR, PEMA",4,1.010195,89,86,3,NA,"",NA,NA,"",NA,NA,NA,183,140,8,35,35,58,5,1,5,2,0.015,0.018,0.015,0.035,0,0.0294,NA
151123,5.18,339044.4,5.53,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,NA,"FL",2019,"NEFU, PECA, PETR",3,0.830192,44,42,2,1,"Deer",0,0,"",0,0,4,103,45,0,58,58,71,1,4,2,9,0.018,0.058,0.035,0.13,0.1,NA,1
151123,5.18,339044.4,5.53,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,NA,"FL",2021,"NEFU, PECA, PEMA, PETR, SQUIRREL",5,0.39108787,36,28,8,1,"Deer",0,0,"",0,0,6,202,129,8,65,65,NA,1,NA,1,NA,0.015,NA,0.015,NA,0,0.0615,2
188,2.27,17137.2,4.23,91.2,0,0,0,778.6,2.89,0.8,0,0,1707.1,3.23,0,0,1311,3.12,0,0,2216,3.3,2.13,NA,"HOS",2016,"NEFU, PECA, PETR",3,0.6736859,43,32,11,2,"Deer, Skunk",0.2303,1,"Skunk",0,0,5,96,89,0,7,7,0,0,NA,0,NA,0,NA,0,NA,0.2,0,NA
188,2.27,17137.2,4.23,91.2,0,0,0,778.6,2.89,0.8,0,0,1707.1,3.23,0,0,1311,3.12,0,0,2216,3.3,2.13,NA,"HOS",2018,"NEFU, PECA, PETR",3,0.8239701,29,25,4,7,"Deer, Squirrel, Turkey, Opossum, Skunk, Bobcat, Coyote",1.3745,4,"Opossum, Coyote, Bobcat, Skunk",0.7097131,0.7097131,10,249,229,1,19,19,8,4,0,4,0,0.211,0,0.211,0,0,0,NA
188,2.27,17137.2,4.23,91.2,0,0,0,778.6,2.89,0.8,0,0,1707.1,3.23,0,0,1311,3.12,0,0,2216,3.3,2.13,NA,"HOS",2019,"NEFU, PETR",2,0.6529539,35,13,22,4,"Deer, Skunk, Mountain Lion, Turkey",1.1945,2,"Skunk, Mountain Lion",0.6931472,0.6931472,6,276,266,2,8,8,15,0,0,0,0,0,0,0,0,0,NA,NA
188,2.27,17137.2,4.23,91.2,0,0,0,778.6,2.89,0.8,0,0,1707.1,3.23,0,0,1311,3.12,0,0,2216,3.3,2.13,NA,"HOS",2021,"NEFU, PECA, PETR",3,0.20019435,37,30,7,5,"Deer, Rabbit, Turkey, Skunk, Opposom",1.0435,2,"Skunk, Opossum",0.693147181,0.693147181,8,644,629,4,10,9,NA,1,NA,1,NA,0.091,NA,0.091,NA,0,0,NA
57,1.76,5888.6,3.77,102.8,576,2.76,0.58,11378.2,4.06,11.4,2444.5,3.39,30841.9,4.49,1604,3.21,21797,4.34,2811,3.4,33713,4.5,0.94,NA,"JSCP",2016,"NEFU, PETR",2,0.4169406,41,35,6,5,"Squirrel, Raccoon, Fox, Black-tailed jackrabbit, Bobcat",1.5171,3,"Raccoon, Fox, Bobcat",1.011404,1.33,7,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
57,1.76,5888.6,3.77,102.8,576,2.76,0.58,11378.2,4.06,11.4,2444.5,3.39,30841.9,4.49,1604,3.21,21797,4.34,2811,3.4,33713,4.5,0.94,NA,"JSCP",2018,"NEFU, PETR",2,0.5864392,58,53,5,3,"Deer, Squirrel, Raccoon",0.5531,1,"Raccoon",0,0,5,27,26,0,1,1,1,0,0,0,0,0,0,0,0,NA,0,NA
57,1.76,5888.6,3.77,102.8,576,2.76,0.58,11378.2,4.06,11.4,2444.5,3.39,30841.9,4.49,1604,3.21,21797,4.34,2811,3.4,33713,4.5,0.94,NA,"JSCP",2019,"NEFU, PETR",2,0.6502538,28,18,10,3,"Squirrel, Raccoon, Opossum",0.5796,2,"Raccoon, Opossum",0.6869616,0.6869616,5,2,1,0,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA
57,1.76,5888.6,3.77,102.8,576,2.76,0.58,11378.2,4.06,11.4,2444.5,3.39,30841.9,4.49,1604,3.21,21797,4.34,2811,3.4,33713,4.5,0.94,NA,"JSCP",2021,"MICA, PETR",2,0.12693055,79,79,0,4,"Deer, Squirrel, Raccoon, Skunk",0.9849,2,"Raccoon, Skunk",0.693147181,0.693147181,6,2,0,0,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
499,2.7,31773,4.5,63.6,0,0,0,33348.8,4.52,33.3,0,0,101200.3,5.01,0,0,68400,4.84,0,0,99743,5,2.09,NA,"LFY",2016,"NEFU, PETR",2,0.2633611,27,25,2,4,"Deer, Turkey, Raccoon, Squirrel",0.8618,1,"Raccoon",0,0,6,102,101,0,1,1,4,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA
499,2.7,31773,4.5,63.6,0,0,0,33348.8,4.52,33.3,0,0,101200.3,5.01,0,0,68400,4.84,0,0,99743,5,2.09,NA,"LFY",2018,"NEFU, PETR",2,0.459693,19,19,0,8,"Deer, Squirrel, Turkey, Raccoon, Coyote, Fox, Skunk, Bobcat",1.4418,5,"Coyote, Raccoon, Fox, Skunk, Bobcat",1.51578,1.51578,10,86,76,0,10,10,10,1,2,1,2,0.1,0.2,0.1,0.2,0,0.1,NA
499,2.7,31773,4.5,63.6,0,0,0,33348.8,4.52,33.3,0,0,101200.3,5.01,0,0,68400,4.84,0,0,99743,5,2.09,NA,"LFY",2019,"NEFU, PETR",2,0.4418033,6,5,1,6,"Deer, Squirrel, Black-tailed jackrabbit, Skunk, Raccoon, Turkey",1.3662,2,"Skunk, Raccoon",0.5623351,0.5623351,8,92,82,0,10,10,2,2,0,2,0,0.2,0,0.2,0,0,NA,1
499,2.7,31773,4.5,63.6,0,0,0,33348.8,4.52,33.3,0,0,101200.3,5.01,0,0,68400,4.84,0,0,99743,5,2.09,NA,"LFY",2021,"NEFU, PETR",2,0.0327715,34,33,1,5,"Deer, Squirrel, Racoon, Turkey, Coyote",1.2904,2,"Raccoon, Coyote",0.693147181,0.693147181,7,93,88,0,5,5,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
12638,4.1,66512.7,4.82,5.3,0,0,0,4546.5,3.66,4.5,0,0,13510.4,4.13,0,0,13278,4.12,0,0,14044,4.1,2.77,NA,"PR",2019,"NEFU, PETR, PEMA, MICA",4,0.7235302,52,46,6,4,"Cow, Skunk, Turkey, Squirrel",1.3863,1,"Skunk",0,0,8,4,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
12638,4.1,66512.7,4.82,5.3,0,0,0,4546.5,3.66,4.5,0,0,13510.4,4.13,0,0,13278,4.12,0,0,14044,4.1,2.77,NA,"PR",2021,"NEFU, PEMA, PETR",3,0.0897427,70,68,2,1,"Deer",0,0,"",0,0,4,1,1,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
420,2.62,15342.2,4.19,36.5,1054,3.02,1.05,1236.7,3.09,1.2,2707.1,3.43,2707.1,3.43,3777,3.58,3777,3.58,4743,3.7,4639,3.7,0.53,NA,"PUG",2019,"NEFU, PETR",2,0.4791656,22,18,4,2,"Deer, Coyote",0.3488,1,"Coyote",0,0,4,7,3,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
420,2.62,15342.2,4.19,36.5,1054,3.02,1.05,1236.7,3.09,1.2,2707.1,3.43,2707.1,3.43,3777,3.58,3777,3.58,4743,3.7,4639,3.7,0.53,NA,"PUG",2021,"NEFU, PECA, PETR",3,0.06881455,50,49,1,NA,"",NA,NA,"",NA,NA,NA,35,23,7,5,5,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2775,3.44,67065.1,4.83,24.2,0,0,0,2120.6,3.33,2.1,0,0,6389.1,3.81,0,0,6493,3.81,0,0,9005,4,2.52,NA,"SLRP",2016,"NEFU, PETR",2,0.5213937,10,8,2,5,"Deer, Turkey, Squirrel, Bobcat, Skunk",1.1801,2,"Bobcat, Skunk",0.4505612,0.95,7,558,507,17,34,34,73,1,NA,1,NA,0.029,NA,0.029,NA,0,0,NA
2775,3.44,67065.1,4.83,24.2,0,0,0,2120.6,3.33,2.1,0,0,6389.1,3.81,0,0,6493,3.81,0,0,9005,4,2.52,NA,"SLRP",2018,"NEFU, PETR, MICA",3,0.5105306,22,22,0,7,"Deer, Squirrel, Turkey, Skunk, Opossum, Raccoon, Bobcat",1.6835,4,"Skunk, Opossum, Bobcat, Raccoon",0.9693406,0.9693406,10,672,606,2,64,64,98,6,3,6,4,0.094,0.032,0.094,0.043,0.105,0.0156,1
2775,3.44,67065.1,4.83,24.2,0,0,0,2120.6,3.33,2.1,0,0,6389.1,3.81,0,0,6493,3.81,0,0,9005,4,2.52,NA,"SLRP",2019,"NEFU, PETR",2,0.293673,12,11,1,6,"Deer, Squirrel, Black-tailed jackrabbit, Skunk, Opossum, Turkey",1.4435,2,"Skunk, Opossum",0.5982696,0.5982696,8,542,444,0,98,98,72,3,10,4,12,0.032,0.139,0.043,0.167,0.025,NA,3
2775,3.44,67065.1,4.83,24.2,0,0,0,2120.6,3.33,2.1,0,0,6389.1,3.81,0,0,6493,3.81,0,0,9005,4,2.52,NA,"SLRP",2021,"PETR",1,0,5,5,0,7,"Deer, Squirrel, Skunk, Opossum, Coyote, Turkey, Rabbit",1.1232,3,"Skunk, Opossum, Coyote",1.067089519,1.067089519,8,395,296,1,100,98,NA,10,NA,10,NA,0.102,NA,0.102,NA,0.01,0.31,NA
2.5,0.4,584,2.77,237.4,1839.7,3.26,1.84,4483.7,3.65,4.5,1147.2,3.06,21951.3,4.34,10157,4.01,15614,4.19,12798,4.1,24305,4.4,0.86,NA,"SMI",2016,"RANO, RARA",2,0.6931472,0,0,0,2,"Deer, Raccoon",0.6931,1,"Raccoon",0,0.69,4,4,3,0,1,1,1,0,NA,0,NA,0,NA,0,NA,NA,NA,NA
