crab,car_width,car_length,claw_length,dactyl_length,dactyl_height,manus_height,pollex_length,manus_width,manus_length,apodeme_area,car_mass,claw_mass,crab_mass,claw_size,mass_class
68,13.03,8.82,15.11,9.61,2.79,6.23,6.67,3.5,8.44,17.06,0.71,0.19,0.9,small,low
32,13.3,9.43,17.41,13.03,2.89,6.77,8.21,4.21,9.2,16.63,0.81,0.26,1.07,small,low
73,13.56,9.5,17.75,12.66,3.03,6.84,9.05,3.94,8.7,19.56,0.82,0.25,1.07,small,low
10,14.04,9.61,17.64,11.76,3.2,7.2,8.08,4.27,9.56,20.01,0.89,0.29,1.18,small,low
41,13.96,9.83,17.86,11.77,3.51,7.13,8.41,4.39,9.45,17.69,0.87,0.31,1.18,small,low
24,13.93,9.67,18.04,12.62,3.47,7.25,8.85,4.06,9.19,15.13,0.93,0.29,1.22,small,low
55,14.3,9.84,21.18,14.69,3.5,7.72,10.71,4.91,10.47,20.88,0.9,0.38,1.28,small,low
52,13.56,9.74,19.93,13.58,3.36,7.63,9.82,4.64,10.11,22.65,0.94,0.35,1.29,small,low
56,14.27,9.88,20.83,14.04,3.38,7.76,10.73,4.99,10.1,18.64,0.94,0.35,1.29,small,low
25,14.81,9.96,19.05,14.79,3.22,7.51,10.04,3.98,9.01,20.66,1.08,0.32,1.4,small,low
36,14.75,10.46,18.31,13.1,3.29,7.67,8.92,4.37,9.39,22.8,1.13,0.34,1.47,small,low
15,14.56,10.19,19.72,13.59,3.38,7.56,9.65,4.56,10.07,35.14,1.07,0.4,1.47,small,low
37,14.33,10.06,21.06,14.3,3.5,7.75,10.44,4.74,10.62,18.92,1.06,0.41,1.47,small,low
64,14.71,10.25,19.49,12.8,3.57,8.08,9.07,4.67,10.42,19.42,1.07,0.41,1.48,small,low
72,14.84,10.21,21.85,14.42,3.57,8.13,10.7,4.92,11.15,29.22,1.06,0.43,1.49,small,low
69,14.49,10.26,22.23,15.18,3.69,8.54,11.15,5.25,11.08,28.39,1.1,0.47,1.57,medium,low
61,14.95,10.43,22.89,15.11,3.85,8.65,11.28,5.37,11.61,31.94,1.21,0.52,1.73,medium,low
49,15.84,10.83,22.61,16.08,3.98,8.54,11.28,5.01,11.33,35.82,1.31,0.49,1.8,medium,medium
40,16.19,11.06,24.64,17.19,3.78,8.84,12.97,5.42,11.67,31.45,1.25,0.57,1.82,medium,medium
71,15.82,11,22.63,15.79,3.84,8.58,11.5,5.46,11.13,31.26,1.32,0.51,1.83,medium,medium
14,15.42,10.85,22.13,14.37,4.11,9.01,10.38,5.48,11.75,37.9,1.29,0.55,1.84,medium,medium
31,15.65,10.72,24.4,17.05,4.1,8.92,12.41,5,11.99,32.01,1.31,0.55,1.86,medium,medium
29,15.87,10.82,24.89,17.21,4.43,9.03,12.51,5.84,12.38,37.72,1.27,0.63,1.9,medium,medium
17,15.73,11.09,25.22,18.19,4.3,9.22,12.83,5.73,12.39,37.68,1.32,0.59,1.91,medium,medium
4,15.87,11.34,24.73,17.39,4.16,9.41,12.6,5.81,12.13,34.72,1.31,0.62,1.93,medium,medium
63,16.15,11.26,26.14,18.05,3.91,9.46,13.51,5.98,12.63,26.42,1.35,0.62,1.97,medium,medium
20,16.57,11.21,24.69,16.79,4.16,8.91,12.46,5.64,12.23,37.23,1.4,0.62,2.02,medium,medium
42,16,11.25,25.12,17.68,4.06,9.26,12.74,6.11,12.38,37.87,1.36,0.66,2.02,medium,medium
58,15.69,10.67,26.44,18.17,4.15,9.47,13.57,5.62,12.87,31.56,1.33,0.69,2.02,medium,medium
19,15.95,11.26,25.52,17.67,3.7,9.27,12.75,5.89,12.77,38.08,1.39,0.65,2.04,medium,medium
6,16.56,11.35,23.33,16.16,4.06,8.87,11.52,5.38,11.81,23.16,1.5,0.56,2.06,medium,medium
