Strain	N_Gene_tot	DNApol_III_a_sub	tRNA_synthetase	16rRNA	cellulase	Blactamase
Streptomyces_sp._WAC_01438	7832	2	27	6	8	13
Rhodococcus_aetherivorans_strain_IcdP1	5786	2	24	2	3	9
Staphylococcus_aureus_strain_USA300-SUR1	3224	1	21	3	3	7
Haemophilus_influenzae_biotype_aegyptius_strain_HE40/F3043	2671	1	36	0	0	0
Borrelia_miyamotoi_strain_Yekat-1	1625	1	20	1	0	1
Riemerella_anatipestifer_Yb2	2207	1	21	1	6	4
Pseudomonas_sp._11K1	6239	2	22	5	8	8
Rickettsia_japonica_strain_2763	1631	1	20	2	1	4
Escherichia_coli_strain_HS30-1	5051	1	24	2	3	2
Staphylococcus_aureus_strain_No.10_strain_No._10	2831	1	21	8	2	5
Vibrio_parahaemolyticus_strain_20140829008-1	5570	2	24	0	8	4
Streptococcus_mitis_strain_FDAARGOS_684_strain_Not_applicable	2207	1	24	0	1	3
Pseudomonas_sp._StFLB209	5725	2	24	2	7	8
Bordetella_pertussis_strain_E587	4384	3	21	1	9	1
Klebsiella_pneumoniae_strain_L5-2	5622	1	26	0	7	6
Staphylococcus_aureus_subsp._aureus_CN1	2638	1	21	2	6	5
Alistipes_shahii_WAL_8301	3311	1	21	1	8	6
Escherichia_coli_strain_MT102	4830	1	23	0	10	1
Listeria_monocytogenes_strain_CFSAN012299	3154	1	23	4	1	3
Mycobacterium_sp._YC-RL4	6057	2	21	1	14	8
Xanthomonas_oryzae_pv._oryzae_strain_CFBP7321	5406	2	23	2	14	4
Kocuria_rhizophila_strain_NCTC8340	2509	2	21	3	2	2
Mycobacterium_abscessus_strain_FLAC003	4836	2	21	1	5	8
Chlamydia_trachomatis_strain_chxRP4D10	988	1	19	3	0	1
Mycobacterium_tuberculosis_strain_2279	5091	2	24	2	4	11
Thermococcus_litoralis_DSM_5473	2644	0	25	1	4	2
Prolixibacter_denitrificans_strain_MIC1-1	4773	3	21	1	7	4
Ralstonia_solanacearum_strain_SL3175	5349	2	22	2	2	5
Vibrio_cholerae_strain_A1552	4481	1	23	7	4	3
Corynebacterium_pseudotuberculosis_strain_38MAT	2322	1	20	0	3	1
Pseudomonas_syringae_pv._tomato_str._DC3000	5986	2	23	2	6	10
Spirosoma_montaniterrae_strain_DY10	5410	2	23	2	11	16
Parageobacillus_thermoglucosidasius_strain_DSM_2542	4843	1	23	7	7	2
Chlamydia_trachomatis_G/11074	1011	1	19	1	2	1
Lactobacillus_rhamnosus_strain_BFE5264	3542	1	22	4	3	8
Listeria_monocytogenes_serotype_1/2c_str._10-5025_strain_10-5025	3097	1	23	7	3	3
Streptococcus_thermophilus_strain_EPS	2211	1	24	9	3	1
Micromonospora_sp._L5	6441	2	28	1	12	9
Piscirickettsia_salmonis_strain_Psal-010b	4835	1	21	6	9	0
Spongiibacterium_sp._HME9304	3557	3	21	3	3	11
Escherichia_coli_strain_CJ236	5014	1	25	0	4	1
Escherichia_coli_strain_MDR_56	6334	1	23	2	7	3
Streptococcus_iniae_strain_89353	2263	1	23	7	3	1
Escherichia_coli_strain_2014C-3003	6248	1	27	9	7	1
Proteus_mirabilis_strain_AR_0159	4146	1	23	2	6	3
Enterobacter_cloacae_34977	4990	1	23	2	10	7
Escherichia_coli_strain_NCCP_14539	6403	2	26	0	7	1
Corynebacterium_pseudotuberculosis_267	2270	1	20	1	5	1
Blattabacterium_sp._(Periplaneta_americana)_str._BPLAN	660	1	21	1	3	2
Staphylococcus_aureus_strain_FDAARGOS_660_strain_Not_applicable	3145	1	21	6	5	5
Spiroplasma_apis_B31	1066	1	22	1	0	1
Rhodobacter_sphaeroides_strain_AB24	4958	3	28	1	5	5
Novosphingobium_sp._PP1Y	5192	2	22	1	9	14
Exiguobacterium_sp._U13-1	3470	1	26	9	4	0
Pseudomonas_syringae_pv._actinidiae_strain_MAFF212063	6983	2	23	7	11	8
Rhodobacteraceae_bacterium_BAR1	3757	1	21	1	6	7
Escherichia_coli_strain_SA186	6103	1	24	0	2	3
Methylophaga_lonarensis_MPL	1644	2	22	1	1	2
Herbaspirillum_frisingense_strain_AA6	5155	2	22	5	4	10
Thalassolituus_oleivorans_strain_K188	3811	2	22	3	4	4
Methanocaldococcus_jannaschii_DSM_2661	1941	0	18	1	0	1
Staphylococcus_aureus_strain_FORC59	2783	1	21	8	2	4
Helicobacter_canadensis_strain_MGYG-HGUT-01348	1729	1	20	3	3	0
Campylobacter_fetus_subsp._venerealis_cfvi03/293	2271	1	20	4	1	0
Corynebacterium_renale_strain_NCTC11140	2333	2	19	4	2	2
